epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.8257,1.1323,0.80963,1.11897,0.76784,0.67862,0.74701,0.47657,1.27726,0.98411,1.223,0.000659933,0.000659933,0.000659933
2,32.1844,1.17592,0.86871,1.15017,0.77071,0.63845,0.71451,0.43276,1.39104,1.10656,1.28296,0.00131347,0.00131347,0.00131347
3,47.382,1.24721,0.95095,1.18363,0.72752,0.6241,0.69262,0.42305,1.38798,1.23256,1.3013,0.0019538,0.0019538,0.0019538
4,62.645,1.26125,0.96541,1.18859,0.754,0.61836,0.69698,0.41646,1.41098,1.15797,1.30306,0.0019406,0.0019406,0.0019406
5,78.0265,1.27615,0.99683,1.19633,0.71556,0.61359,0.69095,0.41389,1.42903,1.18054,1.32738,0.0019208,0.0019208,0.0019208
6,93.2929,1.26866,0.9756,1.19692,0.74478,0.63199,0.71057,0.43141,1.41313,1.11539,1.3256,0.001901,0.001901,0.001901
7,108.79,1.27326,0.97316,1.20948,0.71186,0.60787,0.67913,0.41657,1.388,1.21759,1.30505,0.0018812,0.0018812,0.0018812
8,124.189,1.2613,0.96235,1.18826,0.74354,0.59613,0.69639,0.41674,1.40976,1.14795,1.31327,0.0018614,0.0018614,0.0018614
9,139.749,1.28365,0.96666,1.18968,0.74146,0.64419,0.7185,0.44339,1.36329,1.06399,1.26634,0.0018416,0.0018416,0.0018416
10,155.398,1.24799,0.94095,1.18337,0.74017,0.67217,0.73199,0.45634,1.36758,1.03198,1.26868,0.0018218,0.0018218,0.0018218
11,171.057,1.2459,0.93439,1.17919,0.75858,0.62482,0.7101,0.44353,1.36751,1.08958,1.2826,0.001802,0.001802,0.001802
12,186.688,1.24568,0.93561,1.18099,0.73793,0.6605,0.7247,0.44808,1.3328,1.09798,1.27613,0.0017822,0.0017822,0.0017822
13,202.457,1.23479,0.92287,1.18129,0.74871,0.61406,0.69308,0.4319,1.32883,1.11977,1.25178,0.0017624,0.0017624,0.0017624
14,218.082,1.22996,0.91729,1.17107,0.74096,0.67001,0.73661,0.46144,1.33761,1.0595,1.26564,0.0017426,0.0017426,0.0017426
15,233.616,1.23311,0.91479,1.16849,0.76342,0.64122,0.72918,0.4588,1.33761,1.07708,1.26851,0.0017228,0.0017228,0.0017228
16,248.855,1.22622,0.90177,1.17445,0.74551,0.64204,0.71549,0.43281,1.40165,1.13014,1.30576,0.001703,0.001703,0.001703
17,264.065,1.21874,0.90066,1.16803,0.7059,0.63845,0.69785,0.44058,1.33678,1.07938,1.26853,0.0016832,0.0016832,0.0016832
18,279.278,1.22398,0.9072,1.18643,0.72208,0.65234,0.71666,0.44692,1.32794,1.0902,1.2457,0.0016634,0.0016634,0.0016634
19,294.535,1.20658,0.89317,1.15701,0.75689,0.65854,0.73728,0.46323,1.30768,1.02541,1.23795,0.0016436,0.0016436,0.0016436
20,309.679,1.19084,0.88267,1.15826,0.77689,0.64204,0.73764,0.45969,1.35311,1.03136,1.27216,0.0016238,0.0016238,0.0016238
21,324.882,1.19637,0.87382,1.15511,0.72171,0.66786,0.73035,0.45452,1.34467,1.05971,1.27005,0.001604,0.001604,0.001604
